,c_Sport,c_Season,c_Event,c_Gender,n_DateSort,c_Person,c_PersonNatio,c_NOC,c_Result,n_ResultSort,c_Class
39,Swimming,2018,100m Backstroke,Men,20180407,Chris Walker-Hebborn,England,Great Britain,54.23,54230,Elite
47,Swimming,2018,100m Backstroke,Men,20180406,Luke Greenbank,England,Great Britain,54.37,54370,Elite
60,Swimming,2018,100m Backstroke,Men,20180806,Nicholas Pyle,Great Britain,Great Britain,54.50,54500,Elite
62,Swimming,2018,100m Backstroke,Men,20180406,Xavier Castelli,Wales,Great Britain,54.60,54600,Elite
63,Swimming,2018,100m Backstroke,Men,20180805,Brodie Williams,Great Britain,Great Britain,54.60,54600,Elite
108,Swimming,2018,100m Backstroke,Men,20180405,Elliot Clogg,England,Great Britain,55.08,55080,Elite
111,Swimming,2018,100m Backstroke,Men,20180407,Daniel Cross,Great Britain,Great Britain,55.09,55090,Elite
126,Swimming,2018,100m Backstroke,Men,20180405,Craig McNally,Scotland,Great Britain,55.28,55280,Elite
134,Swimming,2018,100m Backstroke,Men,20180725,Martyn Walton,England,Great Britain,55.34,55340,Elite
174,Swimming,2018,100m Backstroke,Men,20180721,Joseph Clark,Great Britain,Great Britain,55.55,55550,Elite
194,Swimming,2018,100m Backstroke,Men,20180406,Joseph Hulme,Great Britain,Great Britain,55.77,55770,Elite
227,Swimming,2018,100m Backstroke,Men,20180407,Timothy Shuttleworth,Great Britain,Great Britain,55.96,55960,Elite
235,Swimming,2018,100m Backstroke,Men,20180728,Francisco Rogerio Santos,Great Britain,Great Britain,56.03,56030,Elite
241,Swimming,2018,100m Backstroke,Men,20180725,Oliver Fitt,Great Britain,Great Britain,56.07,56070,Elite
242,Swimming,2018,100m Backstroke,Men,20180725,Joseph Small,Great Britain,Great Britain,56.07,56070,Elite
278,Swimming,2018,100m Backstroke,Men,20180725,Liam White,Great Britain,Great Britain,56.29,56290,Elite
296,Swimming,2018,100m Backstroke,Men,20180405,Harry Shalamon,Jersey,Great Britain,56.41,56410,Elite
297,Swimming,2018,100m Backstroke,Men,20180302,Duncan Scott,Scotland,Great Britain,56.43,56430,Elite
306,Swimming,2018,100m Backstroke,Men,20180725,Scott Gibson,Great Britain,Great Britain,56.46,56460,Elite
312,Swimming,2018,100m Backstroke,Men,20180725,James Oxborrow,Great Britain,Great Britain,56.49,56490,Elite
323,Swimming,2018,100m Backstroke,Men,20180725,James Mcfadzen,Great Britain,Great Britain,56.53,56530,Elite
355,Swimming,2018,100m Backstroke,Men,20180725,Callum Barrett,Great Britain,Great Britain,56.67,56670,Elite
375,Swimming,2018,100m Backstroke,Men,20180725,Charlie Brown,Great Britain,Great Britain,56.74,56740,Elite
409,Swimming,2018,100m Backstroke,Men,20180728,William Kearsey,Great Britain,Great Britain,56.86,56860,Elite
424,Swimming,2018,100m Backstroke,Men,20180302,Jack Shillinglaw,Great Britain,Great Britain,56.94,56940,Elite
434,Swimming,2018,100m Backstroke,Men,20180725,Myles Stirk,Great Britain,Great Britain,56.96,56960,Elite
443,Swimming,2018,100m Backstroke,Men,20180302,Thomas Gilroy,Great Britain,Great Britain,57.00,57000,Elite
450,Swimming,2018,100m Backstroke,Men,20180302,Perry Gardner,Great Britain,Great Britain,57.02,57020,Elite
467,Swimming,2018,100m Backstroke,Men,20180725,Jacob Davies,Great Britain,Great Britain,57.11,57110,Elite
479,Swimming,2018,100m Backstroke,Men,20180302,Kyle Chisholm,Great Britain,Great Britain,57.17,57170,Elite
499,Swimming,2018,100m Backstroke,Women,20180806,Georgia Davies,Wales,Great Britain,59.12,59120,Elite
530,Swimming,2018,100m Backstroke,Women,20180809,Kathleen Dawson,Scotland,Great Britain,1:00.17,60170,Elite
542,Swimming,2018,100m Backstroke,Women,20180406,Elizabeth Simmonds,England,Great Britain,1:00.49,60490,Elite
559,Swimming,2018,100m Backstroke,Women,20180406,Cassie Wild,Scotland,Great Britain,1:00.93,60930,Elite
568,Swimming,2018,100m Backstroke,Women,20180406,Jessica Fullalove,England,Great Britain,1:01.04,61040,Elite
599,Swimming,2018,100m Backstroke,Women,20180725,Lily Boseley,Great Britain,Great Britain,1:01.54,61540,Elite
600,Swimming,2018,100m Backstroke,Women,20180725,Chloe Golding,England,Great Britain,1:01.56,61560,Elite
623,Swimming,2018,100m Backstroke,Women,20180725,Alicia Wilson,Great Britain,Great Britain,1:01.73,61730,Elite
648,Swimming,2018,100m Backstroke,Women,20180725,Lauren Cox,Great Britain,Great Britain,1:01.99,61990,Elite
681,Swimming,2018,100m Backstroke,Women,20180406,Anna Maine,England,Great Britain,1:02.29,62290,Elite
690,Swimming,2018,100m Backstroke,Women,20180725,Tegan Drew,Great Britain,Great Britain,1:02.34,62340,Elite
702,Swimming,2018,100m Backstroke,Women,20180725,Laura Stephens,England,Great Britain,1:02.40,62400,Elite
736,Swimming,2018,100m Backstroke,Women,20180725,Jennifer King,Great Britain,Great Britain,1:02.61,62610,Elite
737,Swimming,2018,100m Backstroke,Women,20180406,Charlotte Evans,Great Britain,Great Britain,1:02.61,62610,Elite
745,Swimming,2018,100m Backstroke,Women,20180303,Kathryn Greenslade,Wales,Great Britain,1:02.64,62640,Elite
778,Swimming,2018,100m Backstroke,Women,20180112,Medi Harris,Great Britain,Great Britain,1:02.86,62860,Elite
806,Swimming,2018,100m Backstroke,Women,20180725,Ceara Barber,Great Britain,Great Britain,1:03.00,63000,Elite
822,Swimming,2018,100m Backstroke,Women,20180329,Emily Grant,Great Britain,Great Britain,1:03.08,63080,Elite
836,Swimming,2018,100m Backstroke,Women,20180725,Pia Murray,Great Britain,Great Britain,1:03.16,63160,Elite
837,Swimming,2018,100m Backstroke,Women,20180725,Rachel Anderson,Great Britain,Great Britain,1:03.16,63160,Elite
846,Swimming,2018,100m Backstroke,Women,20180525,Julia Scrivin,Great Britain,Great Britain,1:03.21,63210,Elite
899,Swimming,2018,100m Backstroke,Women,20180519,Hannah Burvill,Great Britain,Great Britain,1:03.45,63450,Elite
908,Swimming,2018,100m Backstroke,Women,20180303,Caitlin Hubbard,Great Britain,Great Britain,1:03.49,63490,Elite
924,Swimming,2018,100m Backstroke,Women,20180112,Harriet West,Wales,Great Britain,1:03.56,63560,Elite
939,Swimming,2018,100m Backstroke,Women,20180429,Emma Day,England,Great Britain,1:03.61,63610,Elite
948,Swimming,2018,100m Backstroke,Women,20180725,Emily Peck,Great Britain,Great Britain,1:03.64,63640,Elite
966,Swimming,2018,100m Backstroke,Women,20180507,Martha Duley,Great Britain,Great Britain,1:03.75,63750,Elite
971,Swimming,2018,100m Backstroke,Women,20180407,Karen Reid,Scotland,Great Britain,1:03.76,63760,Elite
981,Swimming,2018,100m Breaststroke,Men,20180804,Adam Peaty,England,Great Britain,57.10,57100,Elite
982,Swimming,2018,100m Breaststroke,Men,20180804,James Wilby,England,Great Britain,58.64,58640,Elite
986,Swimming,2018,100m Breaststroke,Men,20180803,Ross Murdoch,Scotland,Great Britain,59.14,59140,Elite
1000,Swimming,2018,100m Breaststroke,Men,20180724,Craig Benson,Scotland,Great Britain,59.50,59500,Elite
1066,Swimming,2018,100m Breaststroke,Men,20180724,Lawrence Palmer,Great Britain,Great Britain,1:00.96,60960,Elite
1074,Swimming,2018,100m Breaststroke,Men,20180724,David Murphy,Great Britain,Great Britain,1:01.03,61030,Elite
1089,Swimming,2018,100m Breaststroke,Men,20180407,Andrew Willis,England,Great Britain,1:01.13,61130,Elite
1098,Swimming,2018,100m Breaststroke,Men,20180724,Gregory Butler,Great Britain,Great Britain,1:01.23,61230,Elite
1132,Swimming,2018,100m Breaststroke,Men,20180724,Charlie Attwood,England,Great Britain,1:01.58,61580,Elite
1138,Swimming,2018,100m Breaststroke,Men,20180406,Calum Tait,Great Britain,Great Britain,1:01.62,61620,Elite
1155,Swimming,2018,100m Breaststroke,Men,20180414,Zak Aitchison,Great Britain,Great Britain,1:01.83,61830,Elite
1184,Swimming,2018,100m Breaststroke,Men,20180724,Edward Baxter,Great Britain,Great Britain,1:02.03,62030,Elite
1202,Swimming,2018,100m Breaststroke,Men,20180724,Archie Goodburn,Great Britain,Great Britain,1:02.13,62130,Elite
1206,Swimming,2018,100m Breaststroke,Men,20180724,James Lewis,Great Britain,Great Britain,1:02.17,62170,Elite
1246,Swimming,2018,100m Breaststroke,Men,20180724,Oliver Crosby,Great Britain,Great Britain,1:02.37,62370,Elite
1269,Swimming,2018,100m Breaststroke,Men,20180519,Dominic Polling,Great Britain,Great Britain,1:02.48,62480,Elite
1286,Swimming,2018,100m Breaststroke,Men,20180724,Adam Chillingworth,Great Britain,Great Britain,1:02.58,62580,Elite
1391,Swimming,2018,100m Breaststroke,Men,20180731,Kyle Boyek,Great Britain,Great Britain,1:03.15,63150,Elite
1399,Swimming,2018,100m Breaststroke,Men,20180731,George Hopkins,Great Britain,Great Britain,1:03.19,63190,Elite
1414,Swimming,2018,100m Breaststroke,Men,20180404,Luke Davies,Great Britain,Great Britain,1:03.26,63260,Elite
1431,Swimming,2018,100m Breaststroke,Men,20180731,Marcus Gardiner,Great Britain,Great Britain,1:03.34,63340,Elite
1435,Swimming,2018,100m Breaststroke,Men,20180724,James Mcfadzen,Great Britain,Great Britain,1:03.36,63360,Elite
1460,Swimming,2018,100m Breaststroke,Men,20180303,Kyle Booth,Great Britain,Great Britain,1:03.47,63470,Elite
1483,Swimming,2018,100m Breaststroke,Women,20180804,Siobhan-Marie O'Connor,England,Great Britain,1:06.99,66990,Elite
1510,Swimming,2018,100m Breaststroke,Women,20180409,Chloe Tutton,Wales,Great Britain,1:07.87,67870,Elite
1516,Swimming,2018,100m Breaststroke,Women,20180729,Katie Matts,Great Britain,Great Britain,1:07.92,67920,Elite
1533,Swimming,2018,100m Breaststroke,Women,20180409,Sarah Vasey,England,Great Britain,1:08.36,68360,Elite
1534,Swimming,2018,100m Breaststroke,Women,20180804,Imogen Clark,Great Britain,Great Britain,1:08.36,68360,Elite
1544,Swimming,2018,100m Breaststroke,Women,20180629,Molly Renshaw,England,Great Britain,1:08.50,68500,Elite
1548,Swimming,2018,100m Breaststroke,Women,20180729,Tatiana Belonogoff,Great Britain,Great Britain,1:08.63,68630,Elite
1554,Swimming,2018,100m Breaststroke,Women,20180408,Jocelyn Ulyett,England,Great Britain,1:08.68,68680,Elite
1555,Swimming,2018,100m Breaststroke,Women,20180729,Annabel Guye-Johnson,Great Britain,Great Britain,1:08.68,68680,Elite
1559,Swimming,2018,100m Breaststroke,Women,20180707,Katie Robertson,Great Britain,Great Britain,1:08.74,68740,Elite
1564,Swimming,2018,100m Breaststroke,Women,20180729,Kara Hanlon,Great Britain,Great Britain,1:08.85,68850,Elite
1579,Swimming,2018,100m Breaststroke,Women,20180302,Corrie Scott,Scotland,Great Britain,1:09.06,69060,Elite
1626,Swimming,2018,100m Breaststroke,Women,20180408,Laura Kinley,Isle of Man,Great Britain,1:09.71,69710,Elite
1661,Swimming,2018,100m Breaststroke,Women,20180729,Beth Aitchison,Great Britain,Great Britain,1:10.04,70040,Elite
1665,Swimming,2018,100m Breaststroke,Women,20180408,Carmella Kitching,Great Britain,Great Britain,1:10.07,70070,Elite
1672,Swimming,2018,100m Breaststroke,Women,20180428,Georgina Evans,Great Britain,Great Britain,1:10.10,70100,Elite
1681,Swimming,2018,100m Breaststroke,Women,20180707,Angharad Evans,Great Britain,Great Britain,1:10.16,70160,Elite
1684,Swimming,2018,100m Breaststroke,Women,20180729,Grace Gilroy,Great Britain,Great Britain,1:10.20,70200,Elite
1696,Swimming,2018,100m Breaststroke,Women,20180408,Megan Morrison,Great Britain,Great Britain,1:10.28,70280,Elite
1723,Swimming,2018,100m Breaststroke,Women,20180729,Kayla Van Der Merwe,Great Britain,Great Britain,1:10.50,70500,Elite
1747,Swimming,2018,100m Breaststroke,Women,20180302,Rebecca Clynes,Great Britain,Great Britain,1:10.70,70700,Elite
1755,Swimming,2018,100m Breaststroke,Women,20180729,Amy Bell,Great Britain,Great Britain,1:10.72,70720,Elite
1791,Swimming,2018,100m Breaststroke,Women,20180404,Orla Adams,Great Britain,Great Britain,1:10.94,70940,Elite
1816,Swimming,2018,100m Breaststroke,Women,20180408,Niamh Robinson,Isle of Man,Great Britain,1:11.10,71100,Elite
1823,Swimming,2018,100m Breaststroke,Women,20180707,Lily Booker,Great Britain,Great Britain,1:11.11,71110,Elite
1834,Swimming,2018,100m Breaststroke,Women,20180729,Rachel Taylor,Great Britain,Great Britain,1:11.18,71180,Elite
1849,Swimming,2018,100m Breaststroke,Women,20180324,Layla Black,Great Britain,Great Britain,1:11.28,71280,Elite
1867,Swimming,2018,100m Breaststroke,Women,20180408,Bethan Sloan,Wales,Great Britain,1:11.34,71340,Elite
1874,Swimming,2018,100m Breaststroke,Women,20180729,Cira Fletcher,Great Britain,Great Britain,1:11.37,71370,Elite
1920,Swimming,2018,100m Breaststroke,Women,20180302,Flora Perkin,Great Britain,Great Britain,1:11.63,71630,Elite
1926,Swimming,2018,100m Breaststroke,Women,20180609,Hannah Miley,Scotland,Great Britain,1:11.68,71680,Elite
1929,Swimming,2018,100m Breaststroke,Women,20180731,Morgan Penney,Great Britain,Great Britain,1:11.69,71690,Elite
1952,Swimming,2018,100m Breaststroke,Women,20180112,Cerys Coley,Great Britain,Great Britain,1:11.80,71800,Elite
1967,Swimming,2018,100m Butterfly,Men,20180409,James Guy,England,Great Britain,51.31,51310,Elite
2068,Swimming,2018,100m Butterfly,Men,20180727,Cameron Brooks-Clarke,Great Britain,Great Britain,52.89,52890,Elite
2080,Swimming,2018,100m Butterfly,Men,20180808,Jacob Peters,England,Great Britain,53.02,53020,Elite
2084,Swimming,2018,100m Butterfly,Men,20180727,Sam Horrocks,Great Britain,Great Britain,53.07,53070,Elite
2101,Swimming,2018,100m Butterfly,Men,20180727,Matthew Domville,Great Britain,Great Britain,53.19,53190,Elite
2120,Swimming,2018,100m Butterfly,Men,20180408,Sean Campsie,Scotland,Great Britain,53.31,53310,Elite
2121,Swimming,2018,100m Butterfly,Men,20180408,Calum Jarvis,Wales,Great Britain,53.33,53330,Elite
2212,Swimming,2018,100m Butterfly,Men,20180609,Duncan Scott,Scotland,Great Britain,53.77,53770,Elite
2227,Swimming,2018,100m Butterfly,Men,20180707,Lewis Fraser,Great Britain,Great Britain,53.85,53850,Elite
2297,Swimming,2018,100m Butterfly,Men,20180406,Kevin Wallbank,Great Britain,Great Britain,54.17,54170,Elite
2324,Swimming,2018,100m Butterfly,Men,20180629,Max Litchfield,England,Great Britain,54.31,54310,Elite
2335,Swimming,2018,100m Butterfly,Men,20180720,Scott Mclay,Scotland,Great Britain,54.36,54360,Elite
2346,Swimming,2018,100m Butterfly,Men,20180720,Joseph Clark,Great Britain,Great Britain,54.38,54380,Elite
2373,Swimming,2018,100m Butterfly,Men,20180415,Martyn Walton,England,Great Britain,54.48,54480,Elite
2378,Swimming,2018,100m Butterfly,Men,20180727,Archie Goodburn,Great Britain,Great Britain,54.52,54520,Elite
2379,Swimming,2018,100m Butterfly,Men,20180727,Dominic Wooldridge,Great Britain,Great Britain,54.52,54520,Elite
2392,Swimming,2018,100m Butterfly,Men,20180727,Oliver Maltby,Great Britain,Great Britain,54.55,54550,Elite
2401,Swimming,2018,100m Butterfly,Men,20180727,Sam Dailley,Great Britain,Great Britain,54.57,54570,Elite
2414,Swimming,2018,100m Butterfly,Men,20180727,Ben Hooper,Great Britain,Great Britain,54.61,54610,Elite
2429,Swimming,2018,100m Butterfly,Men,20180727,Jacob Jackson,Great Britain,Great Britain,54.65,54650,Elite
2464,Swimming,2018,100m Butterfly,Women,20180406,Charlotte Atkinson,Isle of Man,Great Britain,57.88,57880,Elite
2470,Swimming,2018,100m Butterfly,Women,20180406,Alys Thomas,Wales,Great Britain,58.06,58060,Elite
2496,Swimming,2018,100m Butterfly,Women,20180301,Harriet Jones,Wales,Great Britain,58.85,58850,Elite
2499,Swimming,2018,100m Butterfly,Women,20180301,Tain Bruce,Great Britain,Great Britain,58.92,58920,Elite
2513,Swimming,2018,100m Butterfly,Women,20180706,Emily Large,England,Great Britain,59.16,59160,Elite
2530,Swimming,2018,100m Butterfly,Women,20180729,Laura Stephens,England,Great Britain,59.36,59360,Elite
2537,Swimming,2018,100m Butterfly,Women,20180301,Harriet West,Wales,Great Britain,59.43,59430,Elite
2551,Swimming,2018,100m Butterfly,Women,20180405,Keanna Macinnes,Scotland,Great Britain,59.55,59550,Elite
2555,Swimming,2018,100m Butterfly,Women,20180301,Siobhan-Marie O'Connor,England,Great Britain,59.59,59590,Elite
2655,Swimming,2018,100m Butterfly,Women,20180729,Isobel Grant,England,Great Britain,1:00.49,60490,Elite
2665,Swimming,2018,100m Butterfly,Women,20180301,Ciara Schlosshan,Great Britain,Great Britain,1:00.54,60540,Elite
2687,Swimming,2018,100m Butterfly,Women,20180204,Holly Hibbott,England,Great Britain,1:00.67,60670,Elite
2713,Swimming,2018,100m Butterfly,Women,20180729,Maisie Elliott,Great Britain,Great Britain,1:00.83,60830,Elite
2725,Swimming,2018,100m Butterfly,Women,20180729,Betsy Wizard,Great Britain,Great Britain,1:00.89,60890,Elite
2731,Swimming,2018,100m Butterfly,Women,20180729,Sophie Freeman,Great Britain,Great Britain,1:00.92,60920,Elite
2792,Swimming,2018,100m Butterfly,Women,20180729,Tori Sopp,Great Britain,Great Britain,1:01.19,61190,Elite
2798,Swimming,2018,100m Butterfly,Women,20180301,Isabel Spinley,Great Britain,Great Britain,1:01.21,61210,Elite
2801,Swimming,2018,100m Butterfly,Women,20180630,Eleanor Faulkner,England,Great Britain,1:01.22,61220,Elite
2809,Swimming,2018,100m Butterfly,Women,20181130,Anna Hopkin,England,Great Britain,1:01.27,61270,Elite
2841,Swimming,2018,100m Butterfly,Women,20180729,Caitlin Hubbard,Great Britain,Great Britain,1:01.44,61440,Elite
2865,Swimming,2018,100m Butterfly,Women,20180522,Julia Scrivin,Great Britain,Great Britain,1:01.53,61530,Elite
2877,Swimming,2018,100m Butterfly,Women,20180729,Yasmin Perry,Great Britain,Great Britain,1:01.57,61570,Elite
2896,Swimming,2018,100m Butterfly,Women,20180729,Jasmine Mccrea,Great Britain,Great Britain,1:01.64,61640,Elite
2897,Swimming,2018,100m Butterfly,Women,20180729,Kate Mills,Great Britain,Great Britain,1:01.66,61660,Elite
2898,Swimming,2018,100m Butterfly,Women,20180729,Pia Murray,Great Britain,Great Britain,1:01.66,61660,Elite
2944,Swimming,2018,100m Freestyle,Men,20180408,Duncan Scott,Scotland,Great Britain,48.02,48020,Elite
3092,Swimming,2018,100m Freestyle,Men,20180407,Calum Jarvis,Wales,Great Britain,49.65,49650,Elite
3107,Swimming,2018,100m Freestyle,Men,20180407,Jack Thorpe,Great Britain,Great Britain,49.75,49750,Elite
3111,Swimming,2018,100m Freestyle,Men,20180407,David Cumberlidge,England,Great Britain,49.77,49770,Elite
3143,Swimming,2018,100m Freestyle,Men,20180719,Scott Mclay,Scotland,Great Britain,49.88,49880,Elite
3145,Swimming,2018,100m Freestyle,Men,20180301,Lewis Burras,Great Britain,Great Britain,49.89,49890,Elite
3171,Swimming,2018,100m Freestyle,Men,20180726,Harry Constantine,Great Britain,Great Britain,49.99,49990,Elite
3173,Swimming,2018,100m Freestyle,Men,20180804,Craig McLean,Scotland,Great Britain,50.00,50000,Elite
3182,Swimming,2018,100m Freestyle,Men,20180407,Kieran McGuckin,Scotland,Great Britain,50.02,50020,Elite
3185,Swimming,2018,100m Freestyle,Men,20180407,Samuel Irvine,Great Britain,Great Britain,50.03,50030,Elite
3186,Swimming,2018,100m Freestyle,Men,20180128,Benjamin Proud,England,Great Britain,50.03,50030,Elite
3253,Swimming,2018,100m Freestyle,Men,20180407,Alex Bowen,Great Britain,Great Britain,50.23,50230,Elite
3264,Swimming,2018,100m Freestyle,Men,20180726,Alex Wray,Great Britain,Great Britain,50.26,50260,Elite
3271,Swimming,2018,100m Freestyle,Men,20180401,Dan Jones,Great Britain,Great Britain,50.28,50280,Elite
3324,Swimming,2018,100m Freestyle,Men,20180726,Martyn Walton,England,Great Britain,50.47,50470,Elite
3346,Swimming,2018,100m Freestyle,Men,20180726,Joe Page,United Arab Emirates,Great Britain,50.52,50520,Elite
3356,Swimming,2018,100m Freestyle,Men,20180301,Stephen Milne,Scotland,Great Britain,50.55,50550,Elite
3358,Swimming,2018,100m Freestyle,Men,20180407,Elliot Clogg,England,Great Britain,50.56,50560,Elite
3395,Swimming,2018,100m Freestyle,Men,20180407,Timothy Shuttleworth,Great Britain,Great Britain,50.66,50660,Elite
3402,Swimming,2018,100m Freestyle,Men,20180726,Lewis Clough,Great Britain,Great Britain,50.68,50680,Elite
3440,Swimming,2018,100m Freestyle,Women,20180808,Freya Anderson,England,Great Britain,53.61,53610,Elite
3472,Swimming,2018,100m Freestyle,Women,20181201,Anna Hopkin,England,Great Britain,54.53,54530,Elite
3542,Swimming,2018,100m Freestyle,Women,20180408,Lucy Hope,Great Britain,Great Britain,55.43,55430,Elite
3572,Swimming,2018,100m Freestyle,Women,20180727,Emily Crane,Great Britain,Great Britain,55.60,55600,Elite
3573,Swimming,2018,100m Freestyle,Women,20180406,Katie Stark,Great Britain,Great Britain,55.60,55600,Elite
3584,Swimming,2018,100m Freestyle,Women,20180727,Elizabeth Harris,Great Britain,Great Britain,55.65,55650,Elite
3608,Swimming,2018,100m Freestyle,Women,20180304,Eleanor Faulkner,England,Great Britain,55.82,55820,Elite
3611,Swimming,2018,100m Freestyle,Women,20180408,Jessica Jackson,England,Great Britain,55.84,55840,Elite
3632,Swimming,2018,100m Freestyle,Women,20180406,Tain Bruce,Great Britain,Great Britain,55.96,55960,Elite
3635,Swimming,2018,100m Freestyle,Women,20180630,Siobhan-Marie O'Connor,England,Great Britain,55.97,55970,Elite
3651,Swimming,2018,100m Freestyle,Women,20180406,Rachel-Louise Masson,Scotland,Great Britain,56.03,56030,Elite
3669,Swimming,2018,100m Freestyle,Women,20180727,Hannah Burvill,Great Britain,Great Britain,56.08,56080,Elite
3739,Swimming,2018,100m Freestyle,Women,20180727,Beth Aitchison,Great Britain,Great Britain,56.37,56370,Elite
3740,Swimming,2018,100m Freestyle,Women,20180727,Amy Grant,Great Britain,Great Britain,56.37,56370,Elite
3762,Swimming,2018,100m Freestyle,Women,20180408,Emily Barclay,Great Britain,Great Britain,56.45,56450,Elite
3823,Swimming,2018,100m Freestyle,Women,20180727,Jemima Hall,Great Britain,Great Britain,56.64,56640,Elite
3830,Swimming,2018,100m Freestyle,Women,20180304,Laura Mcnab,Great Britain,Great Britain,56.66,56660,Elite
3840,Swimming,2018,100m Freestyle,Women,20180727,Anna Maine,England,Great Britain,56.71,56710,Elite
3843,Swimming,2018,100m Freestyle,Women,20180727,Sophie Smith,Great Britain,Great Britain,56.71,56710,Elite
3863,Swimming,2018,100m Freestyle,Women,20180727,Kate Clifton,Great Britain,Great Britain,56.77,56770,Elite
3882,Swimming,2018,100m Freestyle,Women,20180304,Kathryn Greenslade,Wales,Great Britain,56.83,56830,Elite
3902,Swimming,2018,100m Freestyle,Women,20180727,Tamryn Van Selm,Great Britain,Great Britain,56.88,56880,Elite
3922,Swimming,2018,1500m Freestyle,Men,20180410,Daniel Jervis,Wales,Great Britain,14:48.67,888670,Elite
3946,Swimming,2018,1500m Freestyle,Men,20180407,Tom Derbyshire,Great Britain,Great Britain,15:07.07,907070,Elite
4012,Swimming,2018,1500m Freestyle,Men,20180705,Nathan Hughes,Great Britain,Great Britain,15:24.81,924810,Elite
4143,Swimming,2018,1500m Freestyle,Men,20180726,Kieran Bird,Great Britain,Great Britain,15:38.52,938520,Elite
4146,Swimming,2018,1500m Freestyle,Men,20180726,Samuel Budd,Great Britain,Great Britain,15:38.76,938760,Elite
4154,Swimming,2018,1500m Freestyle,Men,20180726,William Bell,Great Britain,Great Britain,15:39.59,939590,Elite
4177,Swimming,2018,1500m Freestyle,Men,20181201,Gordon Mason,Great Britain,Great Britain,15:42.76,942760,Elite
4183,Swimming,2018,1500m Freestyle,Men,20180301,Jakob Goodman,Great Britain,Great Britain,15:43.25,943250,Elite
4185,Swimming,2018,1500m Freestyle,Men,20180726,Jamie Scholes,Great Britain,Great Britain,15:43.44,943440,Elite
4187,Swimming,2018,1500m Freestyle,Men,20180810,Giuseppe Bogani,Great Britain,Great Britain,15:43.94,943940,Elite
4190,Swimming,2018,1500m Freestyle,Men,20180726,Samuel Osborne,Great Britain,Great Britain,15:44.19,944190,Elite
4205,Swimming,2018,1500m Freestyle,Men,20180406,William Ryley,Great Britain,Great Britain,15:45.45,945450,Elite
4219,Swimming,2018,1500m Freestyle,Men,20180726,Luke Turley,Great Britain,Great Britain,15:46.72,946720,Elite
4306,Swimming,2018,1500m Freestyle,Men,20180726,Hector Pardoe,Great Britain,Great Britain,15:54.29,954290,Elite
4336,Swimming,2018,1500m Freestyle,Men,20180301,Ryan Reader,Great Britain,Great Britain,15:56.94,956940,Elite
4413,Swimming,2018,1500m Freestyle,Men,20180726,Adam Wilson,Great Britain,Great Britain,16:01.65,961650,Elite
4481,Swimming,2018,1500m Freestyle,Women,20180405,Alice Dearing,England,Great Britain,16:37.62,997620,Elite
4491,Swimming,2018,1500m Freestyle,Women,20180727,Polly Holden,Great Britain,Great Britain,16:39.72,999720,Elite
4558,Swimming,2018,1500m Freestyle,Women,20180727,Maisie Mccartney,Great Britain,Great Britain,16:52.34,1012340,Elite
4582,Swimming,2018,1500m Freestyle,Women,20180405,Emily Clarke,Great Britain,Great Britain,16:55.82,1015820,Elite
4605,Swimming,2018,1500m Freestyle,Women,20180727,Alisha Hawkins,Great Britain,Great Britain,16:59.52,1019520,Elite
4607,Swimming,2018,1500m Freestyle,Women,20180727,Leah Crisp,Great Britain,Great Britain,16:59.67,1019670,Elite
4631,Swimming,2018,1500m Freestyle,Women,20180727,Nicole Ryan,Great Britain,Great Britain,17:02.75,1022750,Elite
4655,Swimming,2018,1500m Freestyle,Women,20180706,Georgia Darwent,Great Britain,Great Britain,17:05.36,1025360,Elite
4668,Swimming,2018,1500m Freestyle,Women,20180423,Philippa O'Brien,Great Britain,Great Britain,17:07.63,1027630,Elite
4671,Swimming,2018,1500m Freestyle,Women,20180727,Michaella Glenister,Great Britain,Great Britain,17:07.92,1027920,Elite
4672,Swimming,2018,1500m Freestyle,Women,20180727,Emilia Sansome,Great Britain,Great Britain,17:07.94,1027940,Elite
4673,Swimming,2018,1500m Freestyle,Women,20180727,Fleur Lewis,Great Britain,Great Britain,17:08.13,1028130,Elite
4687,Swimming,2018,1500m Freestyle,Women,20180727,Phoebe Griffiths,Great Britain,Great Britain,17:11.58,1031580,Elite
4688,Swimming,2018,1500m Freestyle,Women,20180804,Elizabeth Boeckman,Great Britain,Great Britain,17:11.59,1031590,Elite
4714,Swimming,2018,1500m Freestyle,Women,20180328,Iona Macleod,Great Britain,Great Britain,17:14.89,1034890,Elite
4839,Swimming,2018,200m Backstroke,Men,20180409,Luke Greenbank,England,Great Britain,1:57.43,117430,Elite
4854,Swimming,2018,200m Backstroke,Men,20180409,Craig McNally,Scotland,Great Britain,1:58.32,118320,Elite
4862,Swimming,2018,200m Backstroke,Men,20180807,Brodie Williams,Great Britain,Great Britain,1:58.62,118620,Elite
4876,Swimming,2018,200m Backstroke,Men,20180409,Xavier Castelli,Wales,Great Britain,1:59.27,119270,Elite
4901,Swimming,2018,200m Backstroke,Men,20180325,Francisco Rogerio Santos,Great Britain,Great Britain,2:00.10,120100,Elite
4909,Swimming,2018,200m Backstroke,Men,20180405,Daniel Cross,Great Britain,Great Britain,2:00.23,120230,Elite
4925,Swimming,2018,200m Backstroke,Men,20180729,Callum Barrett,Great Britain,Great Britain,2:00.72,120720,Elite
